column,table,meaning,coding_research_use
opeid8,bridge,Canonical full FSA eight-digit Office of Postsecondary Education ID.,"String with leading zeros; together with award_year is the bridge primary key. Numeric-source leading zeros are restored before this stage. This identifies an FSA reporting unit, not necessarily one IPEDS campus."
award_year,bridge,Original FSA award-year key.,"Preserved from the source panel, normally YYYY-YYYY. The first year is the award-year start and the next year its end. Distinct textual representations of the same OPEID/start-year are rejected."
ipeds_anchor,bridge,Chosen award-year alignment convention for directory tagging.,start (default) chooses award-year start; end chooses start+1. Both anchors are still evaluated for sensitivity.
ipeds_year,bridge,Reference year of the IPEDS annual directory.,"In bridge, the chosen start/end anchor year; in candidates, the year of that candidate directory record. This is not automatically the reference year of every IPEDS outcome or financial measure."
unitid,bridge,Resolved annual IPEDS identity after reconciling directory and official site relationships.,"Nullable integer. May arise from a unique full-OPEID directory match or a complete unique official primary-plus-additional site relation verified in the same annual directory. Conflicts and nonadministrative multiplicity remain unresolved. Administrative/inactive identities may be retained; use ipeds_annual_identity_eligible, activity, program and component scope fields for analysis. Identity alone does not certify aid allocation."
ipeds_match_status,bridge,Original selected-year exact OPEID directory-lookup status.,"HD-only status: exact_unique; no_exact_match; multiple_exact_unitids; ipeds_year_unavailable; exact_unique_administrative_unit; exact_unique_inactive. This is prior evidence, not final resolution; use ipeds_resolution_status and unitid for the reconciled identity."
ipeds_match_method,bridge,Identifier relationship used at the chosen anchor.,exact_full_opeid_same_reference_year when at least one exact candidate exists; none otherwise. This field alone does not establish unique assignment; consult status and candidate count.
ipeds_exact_candidate_count,bridge,Number of distinct annual UNITIDs sharing the full FSA OPEID at the chosen anchor.,"Distinct exact full-OPEID directory candidates including offices/inactive records. Zero is no exact candidate or no directory; multiple nonadministrative candidates block a singleton, but an official site relation can distinguish an institution from administrative duplicates. Consult final resolution status."
ipeds_unitid_start,bridge,"Unique exact UNITID candidate at award-year start, before eligibility/scope screens.",Nullable integer; populated only if exactly one full-OPEID candidate exists. May refer to an administrative or inactive record. Diagnostic only; use assigned unitid and screening fields for analysis.
ipeds_unitid_end,bridge,"Unique exact UNITID candidate at award-year end, before eligibility/scope screens.",Nullable integer; populated only if exactly one full-OPEID candidate exists. May refer to an administrative or inactive record. Diagnostic only; not a nearest-year replacement.
ipeds_start_candidate_count,bridge,Number of exact full-OPEID UNITID candidates in the start-year directory.,Nonnegative integer; includes administrative and inactive records. Interpret zero alongside directory availability.
ipeds_end_candidate_count,bridge,Number of exact full-OPEID UNITID candidates in the end-year directory.,Nonnegative integer; includes administrative and inactive records. Interpret zero alongside directory availability.
ipeds_anchor_sensitivity,bridge,Comparison of exact candidate identity between start and end anchors.,stable_unique: same single UNITID in both years; different_unitid: two unique but different IDs; ambiguous_or_unmatched: at least one ambiguous/absent match with both years available; year_unavailable: a directory year is missing. stable_unique is not itself scope certification.
ipeds_scope_root,bridge,"Conservative diagnostic OPEID group, allowing additional-location overflow.",Six-character string formed as 0 plus characters 2-6 of full OPEID. The first OPEID digit can encode overflow locations. Used only for scope review; never assigns UNITIDs or allocates aid.
ipeds_root_unitid_count_start,bridge,Count of annual IPEDS UNITIDs within the diagnostic OPEID group at the start anchor.,"Includes all valid-ID directory members, including offices/inactive records. More than one excludes strict screening, even when the full-ID exact match is unique."
ipeds_root_unitid_count_end,bridge,Count of annual IPEDS UNITIDs within the diagnostic OPEID group at the end anchor.,"Includes all valid-ID directory members, including offices/inactive records. More than one excludes strict screening; zero can reflect missing year or no group record."
fsa_root_opeid_count,bridge,Number of distinct FSA full OPEIDs in this diagnostic group and award year.,Based on the supplied FSA panel. More than one flags possible overlapping parent/location reporting and excludes the strict subset. Does not prove double counting or authorize aggregation.
ipeds_opeid_lifetime_unitid_count,bridge,Distinct UNITIDs associated with this full OPEID across loaded directory years.,"Observed-input-span count, not the entire historical lifetime. More than one triggers longitudinal review and strict exclusion. It does not determine the reason for a change."
ipeds_unitid_lifetime_opeid_count,bridge,Distinct full OPEIDs associated with the original HD-only assigned UNITID across loaded directories.,"Observed-input-span count, not a lifetime guarantee. Calculated for ipeds_directory_unitid before reconciliation, not for a newly resolved official alias; zero when the base directory tag was absent. More than one is a conservative longitudinal review flag, not a merger instruction."
ipeds_strict_eligible,bridge,Eligibility for the restrictive longitudinal sensitivity subset.,"Boolean preserving the original stable exact-ID/singleton-group/activity/scope/history/descriptor screen, additionally requiring final annual identity eligibility and the same UNITID as the base tag. Accepted Title IV codes are year-aware, including qualifying new participants. Official multiplicity, incomplete site parsing or identity conflicts can remove prior eligibility. This is not general research eligibility or proof of program amount scope. Official site multiplicity, incomplete parsing or different singleton UNITIDs at either start/end anchor veto strict eligibility; absence of a crosswalk alone does not."
ipeds_strict_exclusion_reasons,bridge,All applicable reasons the row fails conservative screening.,"Semicolon-delimited, overlapping flags; empty means eligible. Reasons cover match status, anchor status, multiple IPEDS/FSA group members, historical ID changes, parent/child or branch flags, Title IV/activity/closure flags, missing metadata, and unresolved FSA descriptors. Reason counts must not be added as mutually exclusive exclusions."
ipeds_reporting_scope,bridge,Summary of the final conservative longitudinal scope screen.,singleton_directory_group_screened when final ipeds_strict_eligible is true; requires_scope_review otherwise. Reflects official-crosswalk reconciliation as well as base-HD screens. Neither label proves exclusive program aid scope.
ipeds_instnm,bridge,IPEDS institution name in the selected annual directory.,Raw annual text; naming and reporting boundaries can change. Do not use as an automatic identity key. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table.
ipeds_stabbr,bridge,IPEDS state or jurisdiction abbreviation.,Raw directory code; includes territories. May differ from the FSA reporting address; no geography filtering is applied by linkage. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table.
ipeds_city,bridge,IPEDS directory city.,Raw text; address changes do not themselves establish institutional entry or exit. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table.
ipeds_zip,bridge,IPEDS directory ZIP or postal code.,Raw text including leading zeros and possible extended ZIP; do not convert to a quantity. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table.
