canonical_name,portable_name,code,value,label,description
grant__source_record_present,grant__source_record_present,0,false,False,The condition described by this variable is false; missing is distinct.
grant__source_record_present,grant__source_record_present,1,true,True,The condition described by this variable is true; missing is distinct.
grant__pell_recipients__status,grant__pell_recipients__status,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__pell_recipients__status,grant__pell_recipients__status,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__pell_recipients__status,grant__pell_recipients__status,1,observed,observed,An explicitly reported numeric nonzero value.
grant__pell_recipients__status,grant__pell_recipients__status,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__pell_recipients__status,grant__pell_recipients__status,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__pell_disbursements__status,grant_pell_disb_statu_dd269944c5,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__pell_disbursements__status,grant_pell_disb_statu_dd269944c5,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__pell_disbursements__status,grant_pell_disb_statu_dd269944c5,1,observed,observed,An explicitly reported numeric nonzero value.
grant__pell_disbursements__status,grant_pell_disb_statu_dd269944c5,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__pell_disbursements__status,grant_pell_disb_statu_dd269944c5,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__acg_recipients__status,grant__acg_recipients__status,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__acg_recipients__status,grant__acg_recipients__status,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__acg_recipients__status,grant__acg_recipients__status,1,observed,observed,An explicitly reported numeric nonzero value.
